nombre_comercial,cedula_comercial,codigo_de_vendedor,cod_producto,producto,tipo_de_solicitud,categoria_cliente,etapa_del_producto,total_promedio_volumen_por_semana,total_promedio_tiempo_min_x_actividad
877bfa83577b08198c54,5523664155127086151,4226249958867199939,33,Ahorro ME,Ingreso y seguimiento de ordenes de Ahorros ME,,Instrumentación,0.2,20.0
41cedee6fc19d97564da,5406021909373007051,3601147290888769305,33,Ahorro ME,Ingreso y seguimiento de ordenes de Ahorros ME,,Instrumentación,0.2,60.0
4529d9160e6a0ea2b686,1886856872013727291,8435264564422878684,33,Ahorro ME,Ingreso y seguimiento de ordenes de Ahorros ME,,Instrumentación,0.2,180.0
f07a7a3a47b5e46a4d1f,6066987539387489331,160572783483585001,33,Ahorro ME,Ingreso y seguimiento de ordenes de Ahorros ME,,Instrumentación,0.2,60.0
de98cce69c27951027f7,795847288868382068,1063303585459641168,33,Ahorro ME,Ingreso y seguimiento de ordenes de Ahorros ME,,Instrumentación,0.2,20.0
0521c8a659bb4990f1ca,2335748801186789655,6386334348562881359,33,Ahorro ME,Ingreso y seguimiento de ordenes de Ahorros ME,,Instrumentación,0.2,60.0
c1be8396aa7ff9558d73,4252495677915976204,4456270089495195284,33,Ahorro ME,Ingreso y seguimiento de ordenes de Ahorros ME,,Instrumentación,0.2,60.0
f778e6fbae5ff752a29c,4621193985370182472,1779618573794003570,33,Ahorro ME,Ingreso y seguimiento de ordenes de Ahorros ME,,Instrumentación,0.2,0.0
72e8acae0c72d9d1fe8d,3322302553801625208,646295124943660661,33,Ahorro ME,Ingreso y seguimiento de ordenes de Ahorros ME,,Instrumentación,0.2,10.0
a0bd1daec400edc49e61,7745895991753920627,6393060264697452315,33,Ahorro ME,Ingreso y seguimiento de ordenes de Ahorros ME,,Instrumentación,0.2,60.0
0a573c1f9c3a6b232276,3851709254872711321,8907247390857196326,33,Ahorro ME,Ingreso y seguimiento de ordenes de Ahorros ME,,Instrumentación,0.2,30.0
f642ee8ae529f8ea163f,6924170661612155956,8665025414122498329,33,Ahorro ME,Ingreso y seguimiento de ordenes de Ahorros ME,,Instrumentación,0.2,10.0
b1ae79fd890511838ca2,2823133972631751740,6860972591341074531,33,Ahorro ME,Ingreso y seguimiento de ordenes de Ahorros ME,,Instrumentación,0.2,15.0
8382a9f63b9213aa8637,3572116937263725386,1965312692498047603,33,Ahorro ME,Ingreso y seguimiento de ordenes de Ahorros ME,,Instrumentación,0.2,90.0
43246c66f1b909c7fd6c,7890506340618312303,4716839945563024945,33,Ahorro ME,Ingreso y seguimiento de ordenes de Ahorros ME,,Instrumentación,0.2,60.0
30de3fa56a2819285bb8,4035831650893096308,2727520240940259531,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,10.0
fcfc374a178d90a8731a,8848586689032154282,7191292115611173787,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,15.0
2ab0b72cbdc484c426e7,2064769552644114389,1024580028599275475,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,15.0
7bf1d98ec7a61ac2e8e6,6522136206531577599,6348457127782643712,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,20.0
7488028053aeb8b71806,3145650865498637302,2503505065354668098,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,20.0
1dac14d32b4fddd9df68,3845501433863906259,1234591062429359022,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,5.0
04196dc6be4689a222ae,6267087304981669273,3068611274367202794,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,10.0
0c79edd3645c0b1b8619,4974957231608631115,1067643372379149345,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,20.0
73687e509408dd22cfeb,3755649501228942515,1124091073715872896,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,10.0
c1aaaadc8d76b2e192b5,688601118196461190,626418456100704273,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,30.0
3449e6733e7db6c2cedc,3434611981978450147,5185903810255268653,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,15.0
10e0f891677952ecf2bd,8588671355042849336,6994591560675612489,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,15.0
caf4ca4f829ffc9d38f5,6524484114523694421,856805249389296756,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,5.0
435f3fadf9d89c919c73,1980704618275534174,7848047449742946354,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,15.0
c192db5bbec5782a4f42,1976596424285295039,2830901892139129799,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,5.0
702c1d54cc4e3b1f22bd,543652078464422910,5252392337476504212,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,20.0
acaa03826f31ac680596,4344839043934969046,5628721054647793790,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,10.0
ccd630b17e7511bb06a9,1891523618544482936,8760413806532274548,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,10.0
1c9725bf3782979ef822,4006831049366526503,4874253757214274259,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,10.0
97010ea0c92356eb18eb,3387807761749756262,4588499334736968753,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,20.0
8bbfa5abfb9db62e4546,8465856950338270901,4812534344691374024,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,15.0
78b0d9b3c1cb37cd51fd,4548229588224812420,1964786946992177764,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,60.0
96096ba57829d7dcf208,1263041317332062711,5233438259559169896,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,15.0
c70fe6c424a50d2d8fef,3619166219777894651,9079515411528897215,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,15.0
5b5db466d768eb3b6a3e,1623955494121684788,8047120398889169571,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,15.0
eb747f21d62556961c1c,6242205084977579736,5341934821734838575,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,20.0
877bfa83577b08198c54,5523664155127086151,4226249958867199939,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,20.0
41cedee6fc19d97564da,5406021909373007051,3601147290888769305,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,30.0
4529d9160e6a0ea2b686,1886856872013727291,8435264564422878684,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,60.0
f07a7a3a47b5e46a4d1f,6066987539387489331,160572783483585001,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,40.0
de98cce69c27951027f7,795847288868382068,1063303585459641168,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,20.0
0521c8a659bb4990f1ca,2335748801186789655,6386334348562881359,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,30.0
c1be8396aa7ff9558d73,4252495677915976204,4456270089495195284,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,60.0
f778e6fbae5ff752a29c,4621193985370182472,1779618573794003570,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,5.0
72e8acae0c72d9d1fe8d,3322302553801625208,646295124943660661,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,10.0
a0bd1daec400edc49e61,7745895991753920627,6393060264697452315,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,20.0
0a573c1f9c3a6b232276,3851709254872711321,8907247390857196326,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,20.0
f642ee8ae529f8ea163f,6924170661612155956,8665025414122498329,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,10.0
b1ae79fd890511838ca2,2823133972631751740,6860972591341074531,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,10.0
8382a9f63b9213aa8637,3572116937263725386,1965312692498047603,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,180.0
43246c66f1b909c7fd6c,7890506340618312303,4716839945563024945,35,CDT ME,Ingreso y seguimiento de ordenes de CDT ME,,Instrumentación,0.2,30.0
30de3fa56a2819285bb8,4035831650893096308,2727520240940259531,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,20.0
fcfc374a178d90a8731a,8848586689032154282,7191292115611173787,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,15.0
2ab0b72cbdc484c426e7,2064769552644114389,1024580028599275475,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,20.0
7bf1d98ec7a61ac2e8e6,6522136206531577599,6348457127782643712,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,20.0
7488028053aeb8b71806,3145650865498637302,2503505065354668098,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,20.0
1dac14d32b4fddd9df68,3845501433863906259,1234591062429359022,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,10.0
04196dc6be4689a222ae,6267087304981669273,3068611274367202794,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,15.0
0c79edd3645c0b1b8619,4974957231608631115,1067643372379149345,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,20.0
73687e509408dd22cfeb,3755649501228942515,1124091073715872896,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,20.0
c1aaaadc8d76b2e192b5,688601118196461190,626418456100704273,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,0.0
3449e6733e7db6c2cedc,3434611981978450147,5185903810255268653,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,0.0
10e0f891677952ecf2bd,8588671355042849336,6994591560675612489,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,15.0
caf4ca4f829ffc9d38f5,6524484114523694421,856805249389296756,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,5.0
435f3fadf9d89c919c73,1980704618275534174,7848047449742946354,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,15.0
c192db5bbec5782a4f42,1976596424285295039,2830901892139129799,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,15.0
702c1d54cc4e3b1f22bd,543652078464422910,5252392337476504212,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,60.0
acaa03826f31ac680596,4344839043934969046,5628721054647793790,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,10.0
ccd630b17e7511bb06a9,1891523618544482936,8760413806532274548,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,10.0
1c9725bf3782979ef822,4006831049366526503,4874253757214274259,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,0.0
97010ea0c92356eb18eb,3387807761749756262,4588499334736968753,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,0.0
8bbfa5abfb9db62e4546,8465856950338270901,4812534344691374024,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,15.0
78b0d9b3c1cb37cd51fd,4548229588224812420,1964786946992177764,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,0.0
96096ba57829d7dcf208,1263041317332062711,5233438259559169896,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,15.0
c70fe6c424a50d2d8fef,3619166219777894651,9079515411528897215,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,0.0
5b5db466d768eb3b6a3e,1623955494121684788,8047120398889169571,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,0.0
eb747f21d62556961c1c,6242205084977579736,5341934821734838575,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,35.0
877bfa83577b08198c54,5523664155127086151,4226249958867199939,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,20.0
41cedee6fc19d97564da,5406021909373007051,3601147290888769305,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,30.0
4529d9160e6a0ea2b686,1886856872013727291,8435264564422878684,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,60.0
f07a7a3a47b5e46a4d1f,6066987539387489331,160572783483585001,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,30.0
de98cce69c27951027f7,795847288868382068,1063303585459641168,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,20.0
0521c8a659bb4990f1ca,2335748801186789655,6386334348562881359,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,30.0
c1be8396aa7ff9558d73,4252495677915976204,4456270089495195284,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,30.0
f778e6fbae5ff752a29c,4621193985370182472,1779618573794003570,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,10.0
72e8acae0c72d9d1fe8d,3322302553801625208,646295124943660661,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,20.0
a0bd1daec400edc49e61,7745895991753920627,6393060264697452315,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,20.0
0a573c1f9c3a6b232276,3851709254872711321,8907247390857196326,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,0.0
f642ee8ae529f8ea163f,6924170661612155956,8665025414122498329,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,10.0
b1ae79fd890511838ca2,2823133972631751740,6860972591341074531,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,15.0
8382a9f63b9213aa8637,3572116937263725386,1965312692498047603,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,120.0
43246c66f1b909c7fd6c,7890506340618312303,4716839945563024945,24,Certificados Negociables,Ingreso y seguimiento de ordenes de Certificado Negociable,,Instrumentación,0.01,30.0
30de3fa56a2819285bb8,4035831650893096308,2727520240940259531,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,30.0
fcfc374a178d90a8731a,8848586689032154282,7191292115611173787,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,30.0
2ab0b72cbdc484c426e7,2064769552644114389,1024580028599275475,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,15.0
7bf1d98ec7a61ac2e8e6,6522136206531577599,6348457127782643712,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,20.0
7488028053aeb8b71806,3145650865498637302,2503505065354668098,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,60.0
1dac14d32b4fddd9df68,3845501433863906259,1234591062429359022,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,10.0
04196dc6be4689a222ae,6267087304981669273,3068611274367202794,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,15.0
0c79edd3645c0b1b8619,4974957231608631115,1067643372379149345,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,30.0
73687e509408dd22cfeb,3755649501228942515,1124091073715872896,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,30.0
c1aaaadc8d76b2e192b5,688601118196461190,626418456100704273,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,0.0
3449e6733e7db6c2cedc,3434611981978450147,5185903810255268653,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,20.0
10e0f891677952ecf2bd,8588671355042849336,6994591560675612489,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,25.0
caf4ca4f829ffc9d38f5,6524484114523694421,856805249389296756,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,30.0
435f3fadf9d89c919c73,1980704618275534174,7848047449742946354,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,20.0
c192db5bbec5782a4f42,1976596424285295039,2830901892139129799,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,15.0
702c1d54cc4e3b1f22bd,543652078464422910,5252392337476504212,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,45.0
acaa03826f31ac680596,4344839043934969046,5628721054647793790,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,20.0
ccd630b17e7511bb06a9,1891523618544482936,8760413806532274548,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,20.0
1c9725bf3782979ef822,4006831049366526503,4874253757214274259,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,20.0
97010ea0c92356eb18eb,3387807761749756262,4588499334736968753,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,0.0
8bbfa5abfb9db62e4546,8465856950338270901,4812534344691374024,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,15.0
78b0d9b3c1cb37cd51fd,4548229588224812420,1964786946992177764,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,60.0
96096ba57829d7dcf208,1263041317332062711,5233438259559169896,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,15.0
c70fe6c424a50d2d8fef,3619166219777894651,9079515411528897215,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,0.0
5b5db466d768eb3b6a3e,1623955494121684788,8047120398889169571,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,0.0
eb747f21d62556961c1c,6242205084977579736,5341934821734838575,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,35.0
877bfa83577b08198c54,5523664155127086151,4226249958867199939,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,30.0
41cedee6fc19d97564da,5406021909373007051,3601147290888769305,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,60.0
4529d9160e6a0ea2b686,1886856872013727291,8435264564422878684,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,20.0
f07a7a3a47b5e46a4d1f,6066987539387489331,160572783483585001,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,20.0
de98cce69c27951027f7,795847288868382068,1063303585459641168,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,30.0
0521c8a659bb4990f1ca,2335748801186789655,6386334348562881359,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,30.0
c1be8396aa7ff9558d73,4252495677915976204,4456270089495195284,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,30.0
f778e6fbae5ff752a29c,4621193985370182472,1779618573794003570,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,10.0
72e8acae0c72d9d1fe8d,3322302553801625208,646295124943660661,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,15.0
a0bd1daec400edc49e61,7745895991753920627,6393060264697452315,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,20.0
0a573c1f9c3a6b232276,3851709254872711321,8907247390857196326,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,40.0
f642ee8ae529f8ea163f,6924170661612155956,8665025414122498329,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,20.0
b1ae79fd890511838ca2,2823133972631751740,6860972591341074531,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,20.0
8382a9f63b9213aa8637,3572116937263725386,1965312692498047603,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,150.0
43246c66f1b909c7fd6c,7890506340618312303,4716839945563024945,32,tiene_ubs,"Ingreso y seguimiento de órdenes de Corresponsalías: Valores Bancolombia, Panamá (Pershing), UBS, MAN",,Instrumentación,0.3,20.0
30de3fa56a2819285bb8,4035831650893096308,2727520240940259531,34,Cuenta Corriente ME,Ingreso y seguimiento de ordenes de Cuenta Corriente ME,,Instrumentación,0.01,15.0
fcfc374a178d90a8731a,8848586689032154282,7191292115611173787,34,Cuenta Corriente ME,Ingreso y seguimiento de ordenes de Cuenta Corriente ME,,Instrumentación,0.01,15.0
2ab0b72cbdc484c426e7,2064769552644114389,1024580028599275475,34,Cuenta Corriente ME,Ingreso y seguimiento de ordenes de Cuenta Corriente ME,,Instrumentación,0.01,15.0
7bf1d98ec7a61ac2e8e6,6522136206531577599,6348457127782643712,34,Cuenta Corriente ME,Ingreso y seguimiento de ordenes de Cuenta Corriente ME,,Instrumentación,0.01,20.0
7488028053aeb8b71806,3145650865498637302,2503505065354668098,34,Cuenta Corriente ME,Ingreso y seguimiento de ordenes de Cuenta Corriente ME,,Instrumentación,0.01,20.0
1dac14d32b4fddd9df68,3845501433863906259,1234591062429359022,34,Cuenta Corriente ME,Ingreso y seguimiento de ordenes de Cuenta Corriente ME,,Instrumentación,0.01,5.0
04196dc6be4689a222ae,6267087304981669273,3068611274367202794,34,Cuenta Corriente ME,Ingreso y seguimiento de ordenes de Cuenta Corriente ME,,Instrumentación,0.01,10.0
0c79edd3645c0b1b8619,4974957231608631115,1067643372379149345,34,Cuenta Corriente ME,Ingreso y seguimiento de ordenes de Cuenta Corriente ME,,Instrumentación,0.01,20.0
73687e509408dd22cfeb,3755649501228942515,1124091073715872896,34,Cuenta Corriente ME,Ingreso y seguimiento de ordenes de Cuenta Corriente ME,,Instrumentación,0.01,20.0
c1aaaadc8d76b2e192b5,688601118196461190,626418456100704273,34,Cuenta Corriente ME,Ingreso y seguimiento de ordenes de Cuenta Corriente ME,,Instrumentación,0.01,0.0
3449e6733e7db6c2cedc,3434611981978450147,5185903810255268653,34,Cuenta Corriente ME,Ingreso y seguimiento de ordenes de Cuenta Corriente ME,,Instrumentación,0.01,15.0
10e0f891677952ecf2bd,8588671355042849336,6994591560675612489,34,Cuenta Corriente ME,Ingreso y seguimiento de ordenes de Cuenta Corriente ME,,Instrumentación,0.01,25.0
caf4ca4f829ffc9d38f5,6524484114523694421,856805249389296756,34,Cuenta Corriente ME,Ingreso y seguimiento de ordenes de Cuenta Corriente ME,,Instrumentación,0.01,5.0
435f3fadf9d89c919c73,1980704618275534174,7848047449742946354,34,Cuenta Corriente ME,Ingreso y seguimiento de ordenes de Cuenta Corriente ME,,Instrumentación,0.01,15.0
c192db5bbec5782a4f42,1976596424285295039,2830901892139129799,34,Cuenta Corriente ME,Ingreso y seguimiento de ordenes de Cuenta Corriente ME,,Instrumentación,0.01,10.0
702c1d54cc4e3b1f22bd,543652078464422910,5252392337476504212,34,Cuenta Corriente ME,Ingreso y seguimiento de ordenes de Cuenta Corriente ME,,Instrumentación,0.01,30.0
acaa03826f31ac680596,4344839043934969046,5628721054647793790,34,Cuenta Corriente ME,Ingreso y seguimiento de ordenes de Cuenta Corriente ME,,Instrumentación,0.01,10.0
